dataset,N,N_indexed,method,pattern,frac,seed,recall10_vs_exact_linear_scan,drift10_vs_oracle_rebuild,oracle_recall10_vs_exact,exact_reference_sample_queries
MS-MARCO-RBAC,8000000,8000000,Lethe,bridge,0.5,5,0.978368,0.017135,0.977412,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,bridge,0.5,6,0.968384,0.01957,0.978096,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,bridge,0.5,7,0.974124,0.020866,0.975857,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,bridge,0.5,8,0.974197,0.017307,0.976098,2000
MS-MARCO-RBAC,8000000,8000000,Lethe,bridge,0.5,9,0.974393,0.019512,0.976597,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,bridge,0.5,0,0.9773,0.004436,0.979029,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,bridge,0.5,1,0.975954,0.004498,0.978755,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,bridge,0.5,2,0.979714,0.004317,0.978355,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,bridge,0.5,3,0.974314,0.006464,0.973756,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,bridge,0.5,4,0.971627,0.005862,0.980887,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,bridge,0.5,5,0.978286,0.005241,0.978178,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,bridge,0.5,6,0.973892,0.006311,0.977516,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,bridge,0.5,7,0.975483,0.002998,0.977957,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,bridge,0.5,8,0.976875,0.005627,0.978033,2000
MS-MARCO-RBAC,8000000,8000000,Per-role-index,bridge,0.5,9,0.96959,0.004063,0.977041,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,bridge,0.5,0,0.974285,0.002042,0.976177,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,bridge,0.5,1,0.979948,0.003908,0.978086,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,bridge,0.5,2,0.974788,0.002617,0.978482,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,bridge,0.5,3,0.973019,0.006278,0.978421,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,bridge,0.5,4,0.972044,0.006382,0.976209,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,bridge,0.5,5,0.974595,0.002769,0.978986,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,bridge,0.5,6,0.974104,0.006075,0.978778,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,bridge,0.5,7,0.974545,0.007688,0.977714,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,bridge,0.5,8,0.971668,0.005624,0.979141,2000
MS-MARCO-RBAC,8000000,8000000,Per-user-index,bridge,0.5,9,0.976295,0.002727,0.975941,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,bridge,0.5,0,0.894436,0.197569,0.976482,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,bridge,0.5,1,0.893624,0.222334,0.9776,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,bridge,0.5,2,0.903143,0.218934,0.979286,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,bridge,0.5,3,0.90992,0.229817,0.976364,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,bridge,0.5,4,0.913617,0.240616,0.97821,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,bridge,0.5,5,0.894003,0.224142,0.97825,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,bridge,0.5,6,0.902582,0.213083,0.978689,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,bridge,0.5,7,0.897298,0.21058,0.979833,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,bridge,0.5,8,0.891721,0.231084,0.977473,2000
MS-MARCO-RBAC,8000000,8000000,Tombstone,bridge,0.5,9,0.896724,0.212528,0.978151,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,bridge,0.5,0,0.894159,0.208945,0.977755,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,bridge,0.5,1,0.892794,0.23034,0.978301,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,bridge,0.5,2,0.899829,0.223921,0.975227,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,bridge,0.5,3,0.900863,0.219603,0.981759,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,bridge,0.5,4,0.891907,0.230742,0.97797,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,bridge,0.5,5,0.896956,0.218242,0.976214,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,bridge,0.5,6,0.888237,0.2163,0.97742,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,bridge,0.5,7,0.895185,0.221189,0.976752,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,bridge,0.5,8,0.891756,0.21095,0.977883,2000
MS-MARCO-RBAC,8000000,8000000,Post-filter,bridge,0.5,9,0.896454,0.21703,0.976871,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,bridge,0.5,0,0.905114,0.129752,0.976329,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,bridge,0.5,1,0.905243,0.137984,0.981252,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,bridge,0.5,2,0.896654,0.123997,0.977272,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,bridge,0.5,3,0.899263,0.136546,0.979623,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,bridge,0.5,4,0.905103,0.13838,0.979203,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,bridge,0.5,5,0.899233,0.140179,0.977926,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,bridge,0.5,6,0.897879,0.124709,0.975937,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,bridge,0.5,7,0.899928,0.125962,0.978702,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,bridge,0.5,8,0.896071,0.148456,0.975739,2000
MS-MARCO-RBAC,8000000,8000000,Lethe-no-bypass,bridge,0.5,9,0.904944,0.143866,0.979072,2000
SIFT1M,1000000,1000000,Oracle,random,0.1,0,0.98855,0.0,0.987395,2000
SIFT1M,1000000,1000000,Oracle,random,0.1,1,0.98665,0.0,0.986595,2000
SIFT1M,1000000,1000000,Oracle,random,0.1,2,0.984102,0.0,0.988253,2000
SIFT1M,1000000,1000000,Oracle,random,0.1,3,0.987693,0.0,0.982053,2000
SIFT1M,1000000,1000000,Oracle,random,0.1,4,0.984853,0.0,0.985043,2000
SIFT1M,1000000,1000000,Oracle,random,0.1,5,0.982882,0.0,0.984784,2000
SIFT1M,1000000,1000000,Oracle,random,0.1,6,0.98894,0.0,0.984116,2000
SIFT1M,1000000,1000000,Oracle,random,0.1,7,0.987028,0.0,0.986075,2000
SIFT1M,1000000,1000000,Oracle,random,0.1,8,0.983635,0.0,0.98539,2000
SIFT1M,1000000,1000000,Oracle,random,0.1,9,0.985085,0.0,0.985068,2000
SIFT1M,1000000,1000000,Lethe,random,0.1,0,0.980329,0.002939,0.98492,2000
SIFT1M,1000000,1000000,Lethe,random,0.1,1,0.982123,0.006697,0.988508,2000
SIFT1M,1000000,1000000,Lethe,random,0.1,2,0.980095,0.008198,0.986522,2000
SIFT1M,1000000,1000000,Lethe,random,0.1,3,0.979247,0.008912,0.985594,2000
SIFT1M,1000000,1000000,Lethe,random,0.1,4,0.978445,0.008615,0.984696,2000
SIFT1M,1000000,1000000,Lethe,random,0.1,5,0.980037,0.009893,0.987462,2000
SIFT1M,1000000,1000000,Lethe,random,0.1,6,0.980516,0.007329,0.986579,2000
SIFT1M,1000000,1000000,Lethe,random,0.1,7,0.978761,0.008479,0.986441,2000
SIFT1M,1000000,1000000,Lethe,random,0.1,8,0.978636,0.005673,0.989507,2000
SIFT1M,1000000,1000000,Lethe,random,0.1,9,0.978639,0.006915,0.984566,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.1,0,0.985211,0.001416,0.986306,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.1,1,0.98416,0.004082,0.986917,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.1,2,0.984154,0.001948,0.988225,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.1,3,0.98316,0.000797,0.985154,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.1,4,0.986346,0.002636,0.986208,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.1,5,0.982552,0.00215,0.98559,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.1,6,0.979388,0.002484,0.983979,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.1,7,0.984928,0.004522,0.985316,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.1,8,0.98157,0.002441,0.988736,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.1,9,0.982531,0.003018,0.985148,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.1,0,0.984266,0.00031,0.98858,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.1,1,0.981592,0.003228,0.986104,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.1,2,0.985763,0.003438,0.985649,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.1,3,0.981463,0.007145,0.988442,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.1,4,0.981114,0.002706,0.985764,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.1,5,0.985524,0.004342,0.985211,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.1,6,0.983753,0.0048,0.987057,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.1,7,0.982509,0.003097,0.988934,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.1,8,0.983683,0.002824,0.986978,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.1,9,0.982755,0.002451,0.983246,2000
SIFT1M,1000000,1000000,Tombstone,random,0.1,0,0.934159,0.0844,0.98712,2000
SIFT1M,1000000,1000000,Tombstone,random,0.1,1,0.939619,0.093195,0.984767,2000
SIFT1M,1000000,1000000,Tombstone,random,0.1,2,0.943741,0.075915,0.984385,2000
SIFT1M,1000000,1000000,Tombstone,random,0.1,3,0.947489,0.104894,0.986687,2000
SIFT1M,1000000,1000000,Tombstone,random,0.1,4,0.95,0.090686,0.986738,2000
SIFT1M,1000000,1000000,Tombstone,random,0.1,5,0.95,0.098559,0.986485,2000
SIFT1M,1000000,1000000,Tombstone,random,0.1,6,0.948851,0.078996,0.986042,2000
SIFT1M,1000000,1000000,Tombstone,random,0.1,7,0.945831,0.079217,0.983118,2000
SIFT1M,1000000,1000000,Tombstone,random,0.1,8,0.948689,0.081655,0.985853,2000
SIFT1M,1000000,1000000,Tombstone,random,0.1,9,0.940794,0.088947,0.986088,2000
SIFT1M,1000000,1000000,Post-filter,random,0.1,0,0.940861,0.096514,0.98475,2000
SIFT1M,1000000,1000000,Post-filter,random,0.1,1,0.93646,0.080089,0.986359,2000
SIFT1M,1000000,1000000,Post-filter,random,0.1,2,0.940748,0.073616,0.985191,2000
SIFT1M,1000000,1000000,Post-filter,random,0.1,3,0.942188,0.085686,0.98693,2000
SIFT1M,1000000,1000000,Post-filter,random,0.1,4,0.94492,0.085212,0.987716,2000
SIFT1M,1000000,1000000,Post-filter,random,0.1,5,0.940627,0.094927,0.989873,2000
SIFT1M,1000000,1000000,Post-filter,random,0.1,6,0.940709,0.087678,0.98487,2000
SIFT1M,1000000,1000000,Post-filter,random,0.1,7,0.944643,0.082003,0.986233,2000
SIFT1M,1000000,1000000,Post-filter,random,0.1,8,0.936078,0.092077,0.985796,2000
SIFT1M,1000000,1000000,Post-filter,random,0.1,9,0.941251,0.076424,0.983441,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.1,0,0.936574,0.065581,0.983409,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.1,1,0.930293,0.046628,0.98499,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.1,2,0.930053,0.052241,0.987865,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.1,3,0.93783,0.043993,0.985801,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.1,4,0.926633,0.062274,0.985788,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.1,5,0.930623,0.059758,0.985134,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.1,6,0.922249,0.059106,0.987347,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.1,7,0.930813,0.046624,0.989877,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.1,8,0.928989,0.047534,0.98514,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.1,9,0.921444,0.039618,0.988748,2000
SIFT1M,1000000,1000000,Oracle,random,0.2,0,0.98542,0.0,0.985338,2000
SIFT1M,1000000,1000000,Oracle,random,0.2,1,0.985317,0.0,0.98686,2000
SIFT1M,1000000,1000000,Oracle,random,0.2,2,0.988106,0.0,0.987092,2000
SIFT1M,1000000,1000000,Oracle,random,0.2,3,0.987029,0.0,0.986971,2000
SIFT1M,1000000,1000000,Oracle,random,0.2,4,0.986648,0.0,0.98649,2000
SIFT1M,1000000,1000000,Oracle,random,0.2,5,0.984769,0.0,0.985538,2000
SIFT1M,1000000,1000000,Oracle,random,0.2,6,0.986799,0.0,0.986738,2000
SIFT1M,1000000,1000000,Oracle,random,0.2,7,0.988383,0.0,0.984594,2000
SIFT1M,1000000,1000000,Oracle,random,0.2,8,0.986575,0.0,0.984742,2000
SIFT1M,1000000,1000000,Oracle,random,0.2,9,0.985794,0.0,0.985673,2000
SIFT1M,1000000,1000000,Lethe,random,0.2,0,0.981633,0.009436,0.985514,2000
SIFT1M,1000000,1000000,Lethe,random,0.2,1,0.98015,0.005062,0.984861,2000
SIFT1M,1000000,1000000,Lethe,random,0.2,2,0.981628,0.007651,0.983238,2000
SIFT1M,1000000,1000000,Lethe,random,0.2,3,0.978629,0.006065,0.985296,2000
SIFT1M,1000000,1000000,Lethe,random,0.2,4,0.974579,0.00848,0.987452,2000
SIFT1M,1000000,1000000,Lethe,random,0.2,5,0.980828,0.008746,0.985936,2000
SIFT1M,1000000,1000000,Lethe,random,0.2,6,0.977092,0.006449,0.987412,2000
SIFT1M,1000000,1000000,Lethe,random,0.2,7,0.97546,0.005572,0.983656,2000
SIFT1M,1000000,1000000,Lethe,random,0.2,8,0.980601,0.007015,0.98744,2000
SIFT1M,1000000,1000000,Lethe,random,0.2,9,0.978701,0.008471,0.987398,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.2,0,0.981533,0.002379,0.986199,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.2,1,0.986027,0.004169,0.983986,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.2,2,0.982165,0.005489,0.983007,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.2,3,0.983245,0.001262,0.98511,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.2,4,0.984748,0.002159,0.983023,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.2,5,0.985519,0.004989,0.986567,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.2,6,0.983732,0.001605,0.987,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.2,7,0.980922,0.004278,0.986534,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.2,8,0.982016,0.003387,0.988247,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.2,9,0.984655,0.00276,0.987957,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.2,0,0.983102,0.001246,0.985642,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.2,1,0.983914,0.001255,0.987677,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.2,2,0.983366,0.003295,0.985223,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.2,3,0.983384,0.0,0.989099,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.2,4,0.982433,0.001887,0.987258,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.2,5,0.981683,0.002643,0.989402,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.2,6,0.985412,0.002484,0.986802,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.2,7,0.985074,0.005762,0.983793,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.2,8,0.984271,0.002862,0.98488,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.2,9,0.982567,0.001744,0.986265,2000
SIFT1M,1000000,1000000,Tombstone,random,0.2,0,0.939036,0.094181,0.98302,2000
SIFT1M,1000000,1000000,Tombstone,random,0.2,1,0.936696,0.110723,0.987211,2000
SIFT1M,1000000,1000000,Tombstone,random,0.2,2,0.944524,0.112628,0.98482,2000
SIFT1M,1000000,1000000,Tombstone,random,0.2,3,0.930988,0.105027,0.986112,2000
SIFT1M,1000000,1000000,Tombstone,random,0.2,4,0.94493,0.109417,0.986309,2000
SIFT1M,1000000,1000000,Tombstone,random,0.2,5,0.940937,0.105035,0.983887,2000
SIFT1M,1000000,1000000,Tombstone,random,0.2,6,0.938612,0.103857,0.988249,2000
SIFT1M,1000000,1000000,Tombstone,random,0.2,7,0.937593,0.085461,0.98485,2000
SIFT1M,1000000,1000000,Tombstone,random,0.2,8,0.946682,0.103293,0.985081,2000
SIFT1M,1000000,1000000,Tombstone,random,0.2,9,0.94187,0.088678,0.985551,2000
SIFT1M,1000000,1000000,Post-filter,random,0.2,0,0.938614,0.092277,0.983628,2000
SIFT1M,1000000,1000000,Post-filter,random,0.2,1,0.93967,0.097125,0.987214,2000
SIFT1M,1000000,1000000,Post-filter,random,0.2,2,0.93855,0.085936,0.985711,2000
SIFT1M,1000000,1000000,Post-filter,random,0.2,3,0.948152,0.098886,0.984956,2000
SIFT1M,1000000,1000000,Post-filter,random,0.2,4,0.933119,0.093838,0.984169,2000
SIFT1M,1000000,1000000,Post-filter,random,0.2,5,0.936604,0.096786,0.986413,2000
SIFT1M,1000000,1000000,Post-filter,random,0.2,6,0.943595,0.096935,0.984947,2000
SIFT1M,1000000,1000000,Post-filter,random,0.2,7,0.94398,0.110929,0.98817,2000
SIFT1M,1000000,1000000,Post-filter,random,0.2,8,0.942745,0.119446,0.986909,2000
SIFT1M,1000000,1000000,Post-filter,random,0.2,9,0.93256,0.092164,0.986411,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.2,0,0.925957,0.066211,0.983155,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.2,1,0.932939,0.059862,0.985774,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.2,2,0.938823,0.069278,0.985439,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.2,3,0.928576,0.070572,0.985146,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.2,4,0.932413,0.056842,0.987379,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.2,5,0.937995,0.05848,0.986929,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.2,6,0.92548,0.051331,0.984223,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.2,7,0.926454,0.074595,0.987013,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.2,8,0.926948,0.05267,0.985308,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.2,9,0.917766,0.043632,0.98947,2000
SIFT1M,1000000,1000000,Oracle,random,0.3,0,0.987767,0.0,0.986864,2000
SIFT1M,1000000,1000000,Oracle,random,0.3,1,0.987924,0.0,0.985113,2000
SIFT1M,1000000,1000000,Oracle,random,0.3,2,0.986798,0.0,0.987466,2000
SIFT1M,1000000,1000000,Oracle,random,0.3,3,0.984239,0.0,0.988955,2000
SIFT1M,1000000,1000000,Oracle,random,0.3,4,0.988218,0.0,0.985299,2000
SIFT1M,1000000,1000000,Oracle,random,0.3,5,0.985138,0.0,0.988956,2000
SIFT1M,1000000,1000000,Oracle,random,0.3,6,0.983454,0.0,0.985268,2000
SIFT1M,1000000,1000000,Oracle,random,0.3,7,0.986717,0.0,0.984612,2000
SIFT1M,1000000,1000000,Oracle,random,0.3,8,0.989135,0.0,0.986326,2000
SIFT1M,1000000,1000000,Oracle,random,0.3,9,0.985778,0.0,0.986465,2000
SIFT1M,1000000,1000000,Lethe,random,0.3,0,0.980077,0.010082,0.987895,2000
SIFT1M,1000000,1000000,Lethe,random,0.3,1,0.980304,0.007547,0.984941,2000
SIFT1M,1000000,1000000,Lethe,random,0.3,2,0.978605,0.009821,0.985698,2000
SIFT1M,1000000,1000000,Lethe,random,0.3,3,0.981013,0.007944,0.988325,2000
SIFT1M,1000000,1000000,Lethe,random,0.3,4,0.978484,0.008009,0.98492,2000
SIFT1M,1000000,1000000,Lethe,random,0.3,5,0.980883,0.009567,0.983614,2000
SIFT1M,1000000,1000000,Lethe,random,0.3,6,0.981314,0.011088,0.988689,2000
SIFT1M,1000000,1000000,Lethe,random,0.3,7,0.984941,0.009728,0.986008,2000
SIFT1M,1000000,1000000,Lethe,random,0.3,8,0.982632,0.011262,0.985684,2000
SIFT1M,1000000,1000000,Lethe,random,0.3,9,0.979893,0.007321,0.983855,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.3,0,0.984776,0.003117,0.986696,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.3,1,0.980199,0.003017,0.985872,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.3,2,0.982957,0.006785,0.986698,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.3,3,0.979462,0.003625,0.983448,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.3,4,0.983599,0.002189,0.985648,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.3,5,0.982122,0.002471,0.987881,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.3,6,0.983118,0.002302,0.982277,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.3,7,0.982589,0.001022,0.985204,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.3,8,0.985261,0.003158,0.98983,2000
SIFT1M,1000000,1000000,Per-role-index,random,0.3,9,0.982642,0.002751,0.984628,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.3,0,0.981342,0.005174,0.985754,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.3,1,0.986172,0.004212,0.986849,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.3,2,0.982223,0.005178,0.98369,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.3,3,0.982981,0.005359,0.985308,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.3,4,0.983408,0.003303,0.983762,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.3,5,0.980087,0.003883,0.985451,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.3,6,0.981846,0.003322,0.988767,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.3,7,0.981807,0.001843,0.986477,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.3,8,0.982736,0.005701,0.986365,2000
SIFT1M,1000000,1000000,Per-user-index,random,0.3,9,0.983228,0.003539,0.987534,2000
SIFT1M,1000000,1000000,Tombstone,random,0.3,0,0.937325,0.11333,0.985988,2000
SIFT1M,1000000,1000000,Tombstone,random,0.3,1,0.93227,0.111042,0.983716,2000
SIFT1M,1000000,1000000,Tombstone,random,0.3,2,0.924981,0.118313,0.984698,2000
SIFT1M,1000000,1000000,Tombstone,random,0.3,3,0.940808,0.10969,0.984962,2000
SIFT1M,1000000,1000000,Tombstone,random,0.3,4,0.937615,0.119404,0.985514,2000
SIFT1M,1000000,1000000,Tombstone,random,0.3,5,0.930461,0.095606,0.984597,2000
SIFT1M,1000000,1000000,Tombstone,random,0.3,6,0.939309,0.11942,0.982046,2000
SIFT1M,1000000,1000000,Tombstone,random,0.3,7,0.948383,0.132517,0.987616,2000
SIFT1M,1000000,1000000,Tombstone,random,0.3,8,0.935755,0.124075,0.988556,2000
SIFT1M,1000000,1000000,Tombstone,random,0.3,9,0.947883,0.121794,0.986126,2000
SIFT1M,1000000,1000000,Post-filter,random,0.3,0,0.937699,0.123397,0.984992,2000
SIFT1M,1000000,1000000,Post-filter,random,0.3,1,0.936629,0.112437,0.98644,2000
SIFT1M,1000000,1000000,Post-filter,random,0.3,2,0.930714,0.127396,0.984555,2000
SIFT1M,1000000,1000000,Post-filter,random,0.3,3,0.939118,0.103734,0.984235,2000
SIFT1M,1000000,1000000,Post-filter,random,0.3,4,0.938721,0.123112,0.989066,2000
SIFT1M,1000000,1000000,Post-filter,random,0.3,5,0.935504,0.12144,0.984626,2000
SIFT1M,1000000,1000000,Post-filter,random,0.3,6,0.933998,0.136518,0.985637,2000
SIFT1M,1000000,1000000,Post-filter,random,0.3,7,0.94219,0.144511,0.986088,2000
SIFT1M,1000000,1000000,Post-filter,random,0.3,8,0.930714,0.112483,0.985647,2000
SIFT1M,1000000,1000000,Post-filter,random,0.3,9,0.937357,0.118026,0.987165,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.3,0,0.92424,0.076004,0.984144,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.3,1,0.926125,0.074469,0.983088,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.3,2,0.921162,0.074135,0.984787,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.3,3,0.923689,0.058963,0.986694,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.3,4,0.924657,0.073811,0.985755,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.3,5,0.929491,0.076656,0.988466,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.3,6,0.919088,0.052868,0.98433,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.3,7,0.919832,0.065862,0.987293,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.3,8,0.920234,0.066951,0.987855,2000
SIFT1M,1000000,1000000,Lethe-no-bypass,random,0.3,9,0.923629,0.067281,0.983891,2000
SIFT1M,1000000,1000000,Oracle,random,0.4,0,0.982667,0.0,0.986729,2000
SIFT1M,1000000,1000000,Oracle,random,0.4,1,0.986326,0.0,0.988319,2000
SIFT1M,1000000,1000000,Oracle,random,0.4,2,0.98481,0.0,0.983003,2000
SIFT1M,1000000,1000000,Oracle,random,0.4,3,0.985017,0.0,0.987809,2000
SIFT1M,1000000,1000000,Oracle,random,0.4,4,0.988487,0.0,0.985423,2000
SIFT1M,1000000,1000000,Oracle,random,0.4,5,0.985988,0.0,0.986299,2000
SIFT1M,1000000,1000000,Oracle,random,0.4,6,0.986611,0.0,0.984326,2000
SIFT1M,1000000,1000000,Oracle,random,0.4,7,0.986043,0.0,0.983026,2000
SIFT1M,1000000,1000000,Oracle,random,0.4,8,0.986293,0.0,0.983355,2000
SIFT1M,1000000,1000000,Oracle,random,0.4,9,0.986922,0.0,0.984989,2000
SIFT1M,1000000,1000000,Lethe,random,0.4,0,0.980086,0.011493,0.987775,2000
SIFT1M,1000000,1000000,Lethe,random,0.4,1,0.980004,0.006593,0.987404,2000
SIFT1M,1000000,1000000,Lethe,random,0.4,2,0.979462,0.011619,0.983879,2000
SIFT1M,1000000,1000000,Lethe,random,0.4,3,0.980736,0.013538,0.985649,2000
SIFT1M,1000000,1000000,Lethe,random,0.4,4,0.97922,0.005787,0.986523,2000
SIFT1M,1000000,1000000,Lethe,random,0.4,5,0.978698,0.008176,0.986717,2000
SIFT1M,1000000,1000000,Lethe,random,0.4,6,0.979475,0.012821,0.984693,2000
SIFT1M,1000000,1000000,Lethe,random,0.4,7,0.980171,0.013364,0.984709,2000
